Access;Gestor de bases de datos, realizado por Microsoft.
Ada;Lenguaje de programacion estructurado, que permite varias caracteristicas orientadas a objetos. Es el lenguaje empleado por el Departamento de Defensa (DoD) de los Estados Unidos..
ADC;Conversor de analogico a digital.
Administrador;La persona que supervisa y controla el correcto funcionamiento de un sistema informatico.
AGP;Accelerated Graphics Port;una nueva ranura de conexion para tarjetas graficas que existe en las placas base de los equipos Pentium II.
Agujas (impresora "de agujas");ver matricial.
AI;Siglas de Inteligencia Articial (Artificial Intelligence).
AIX;Version del sistema operativo UNIX realizada por IBM para sus ordenadores.
Alfanumerico;Conjunto de letras, numeros y otros simbolos, como signos de puntuacion o simbolos matematicos. Hace referencia a los caracteres del teclado y al conjunto de caracteres disponibles para las diferentes operaciones de transferencia de datos del ordenador.
AMD;Conocido fabricante de procesadores, compatibles con la serie x86 de Intel (Advanced Micro Devices).
AmiPro;Procesador de textos realizado por Lotus, actualmente mejorado y llamado WordPro.
ANSI; American National Standards Institute. Organizacion establecida para adoptar y definir estandares de diversas disciplinas tecnicas.
Antivirus;Aplicacion informatica encargada de detectar y eliminar virus.
API;Interfaz de programacion de aplicaciones (Applications Programming Interface);una serie de funciones que estan disponibles para realizar programas para un cierto entorno
Aplicacion informatica;Un programa de ordenador que se compra ya realizado y listo para usar. Las hay de muy diversos tipos, segun para que proposito se hayan disenyado;procesadores de texto, bases de datos, programas de contabilidad, de facturacion, etc.
Apple;Casa fabricante de ordenadores, creadora de ordenadores como los Apple II, Lisa, Macintosh e iMac.
Approach;Gestor de bases de datos, realizado por Lotus.
ARC;Extension de ficheros comprimidos. El compresor correspondiente es ARC o PkARC.
Archive;Archivo, en ingles.
Archivo;Se suele usar como sinonimo de fichero. En el mundo de los compresores, es frecuente hacer una diferenciacion, diciendo que varios ficheros originales se comprimen y se empaquetan en un archivo comprimido.
ARJ;Extension de ficheros comprimidos. El compresor correspondiente tambien se llama ARJ.
Arranque;Se suele usar este nombre para referirse a la accion de poner un ordenador en funcionamiento. Se suele distinguir entre "arranque en frio" (cuando el ordenador estaba apagado) y "arranque en caliente" (cuando el ordenador estaba encendido y se "reinicializa" sin llegar a apagarlo fisicamente). En ingles es frecuente llamarlo "boot", y distinguir entre "cold boot" (frio) y "warm boot" (caliente) o "reset".
Asm;ver Ensamblador.
AT;Nombre que recibio el primer ordenador creado por IBM con procesador 80286. Asi, se suele hablar de ordendadores compatibles AT refiriendose a ordenadores con procesadores 80286 o superiores. // AT;Juego de ordenes para los modem, creado por la casa Hayes y hoy en dia considerado estandar.
Athlon;Procesador realizado por AMD, equivalente a las gamas Pentium II / Pentium III, aunque con un rendimiento ligeramente superior a iguales velocidades de reloj.
Atari;Casa fabricante de ordenadores y de software, hoy desaparecida, que desarrollo software de maquinas recreativas, ordenadores de 8 bits (como el 400 y el 800), de 16 bits (como la serie ST) y tuvo una pequenya incursion en el mercado de los compatibles PC.
ATI;Conocido fabricante de tarjetas graficas.
AutoCad;Conocido programa de CAD realizado por Autodesk.
Autodesk;Casa desarrolladora de software, autora de aplicaciones como AutoCad, 3D Studio, Animator, AutoSketch, etc.
AVI;Formato de video comprimido para ordenador, el estandar en Windows.
BackUp;Copia de seguridad.
Bajar;Es cada vez mas frecuente oir frases como "Me he bajado de la red una actualizacion para mi antivirus". La palabra "bajar" (en ingles "download") indica una transferencia de informacion desde un ordenador remoto (por ejemplo, un ordenador que haga de anfitrion en Internet o en otra red) hasta nuestro ordenador personal. La palabra "subir" (en ingles "upload") indica el envio de informacion de nuestro ordenador a un ordenador anfitrion en la red.
