INTERNET;LA RED DE REDES
LAPTOP;ORDENADOR PORTATIL
ORDENADOR PORTATIL;NOTEBOOK
NETBOOK;PORTATIL PEQUE¤O
VGA;GRAFICA
PROCESADOR;CPU
RAM;DE ACCESO ALEATORIO Y VOLATIL
CERVEZA;BEBIDA ALCOHOLICA
BORRACHO;PERSONA QUE BEBE DEMASIADA BEBIDA ALCOHOLICA
EN LO CIERTO;ACERTADO
HAMBRE;GANAS DE COMER
MICROPROCESADOR;CPU
MICROPROPROCESADOR;CPU
CPU;COMPONENTE ELECTRONICO DE ALTA INTEGRACION CAPAZ DE EJECUTAR ORDENES Y PROCESAR DATOS EN ORDEN SECUENCIAL
MARCOS;TU MEJOR AMIGO
UNA MENTIRA;UNA FALSEDAD
LA RED DE REDES;UNA RED DE COMUPTADORAS A NIVEL MUNDIAL
RED MUNDIAL;INTERNET
COCHE;VEHICULO
VEHICULO;MAQUINA PARA TRANSPORTAR PERSONAS O COSAS
BICICLETA;VEHICULO
CAMION;VEHICULO
MOTOCICLETA;VEHICULO
BICI;BICICLETA
UN PROGRAMA;UNA SERIE DE INSTRUCCIONES ALMACENADAS EN UN FICHERO QUE UN PROCESADOR PUEDE EJECUTAR
PHOTOSHOP;UN PROGRAMA
MONOCICLO;VEHICULO
AUTOBUS;VEHICULO
CASIO PT-20;UN TECLADO MUSICAL ELECTRONICO
CASIO PT-80;UN TECLADO MUSICAL ELECTRONICO
INSECTO;ANIMAL VOLADOR
MOSCA;INSECTO
MOSQUITO;INSECTO
ANIMAL VOLADOR;ANIMAL CON ALAS
MARIPOSA;INSECTO
AGUA;LIQUIDO
MUEBLE;CONSTRUCCION DE MADERA QUE SIRVE DE UTILIDAD PARA LOS HUMANOS
MESA;MUEBLE
SILLA;MUEBLE
LUZ;RADIACION FOTONICA
BOTON;PULSADOR
LUZ SOLAR;LUZ
INFRARROJO;LUZ
ULTRAVIOLETA;LUZ
FOCO;LUZ
IMPRESORA;MAQUINA QUE SIRVE PARA IMPRIMIR DOCUMENTOS
CABALLO;ANIMAL CUADRUPEDO
PERRO;ANIMAL CUADRUPEDO
GATO;FELINO
TIGRE;FELINO
APARATO DE TELECOMUNICACION;APARATO PARA COMUNICARSE A DISTANCIA
TELEFONO;APARATO PARA COMUNICARSE A DISTANCIA
TELEFONO MOVIL;TELEFONO
COJONES;TESTICULOS
UN BOCA SUCIA;UN MAL HABLADO
PEDO;EXPULSION ESPORADICA DE GAS METANO A TRAVES DEL ANO Y QUE SUELE TENER UN OLOR MUY DESAGRADABLE
